word,definition
Define the word: détraqué,a person who is deranged
Define the word: detritivore,animal that eats decomposing organic matter
Define the word: detritus,waste or debris
Define the word: detrude,to thrust downward or outward
Define the word: detumescence,diminution of swelling
Define the word: deuteragonist,a person who serves as a foil to another
Define the word: deuterogamy,second marriage after the death of the first wife
Define the word: deuteropathy,second illness in addition to an initial one
Define the word: deuteroscopy,second view or meaning; second sight
Define the word: devall,to sink; to decline
Define the word: devisee,one to whom property is bequeathed in a will
Define the word: devoir,what is due; duty
Define the word: dewlap,turkey's wattle; flap of skin under the throat
Define the word: dexiotropic,turning to the right
Define the word: dexter,relating to the right side of a heraldic shield
Define the word: dexter,towards the right side
Define the word: dextroduction,shifting the eyes from left to right
Define the word: dextrogyratory,turning to the right
Define the word: dhole,wild Indian dog
Define the word: diable,unglazed earthenware casserole
Define the word: diablerie,magic; sorcery; mischief
Define the word: diabolocracy,government by the Devil
Define the word: diabology,study of devils
Define the word: diabrotic,corrosive
Define the word: diacatholicon,panacea
Define the word: diachoretic,laxative
Define the word: diaclastic,refractory
Define the word: diaconal,of like or pertaining to a deacon
Define the word: diaconicon,sacristy for sacred vessels in Orthodox churches
Define the word: diacope,deep wound or incision
Define the word: diacope,rhetorical separation of a compound word by a third word; tmesis
Define the word: diacoustic,of like or pertaining to the refraction of sound
Define the word: diacritic,making a distinction; aiding a diagnosis or evaluation
Define the word: diactinal,having two pointed ends
Define the word: diadermic,of like or pertaining to the puncturing of the skin
Define the word: diadrom,course or passing; vibration
Define the word: diaeresis,two dots placed over a vowel to indicate a syllable break (naïve)
Define the word: diagenesis,production of rock out of sediment
Define the word: diaglyph,figure etched or engraved in surface of gem or stone; intaglio
Define the word: diagometer,instrument for measuring electrical conductivity
Define the word: diagraph,instrument for enlarging or projecting drawings
Define the word: diagraphics,art of making diagrams or drawings
Define the word: dialectology,study of dialects
Define the word: diallage,device in which many arguments brought upon one point
Define the word: diallelus,circular argument
Define the word: dialogism,rhetorical discussion in form of an imaginary dialogue
Define the word: diamanté,glittering; decoration using glitter
Define the word: diamantiferous,bearing diamonds
Define the word: dianoetic,capable of like or pertaining to thought
Define the word: diaphanometer,instrument for measuring the transparency of air
Define the word: diaphanous,transparent; translucent
Define the word: diaphone,low-pitched fog signal consisting of two tones
Define the word: diaphoresis,artificially induced sweat
Define the word: diaporesis,rhetorical expression of uncertainty of which of two options to adopt
Define the word: diapyesis,release or discharge of pus
Define the word: diarchy,government by two people
Define the word: diaskeuast,reviser; interpolator
Define the word: diaspora,dispersion
Define the word: diastema,space between teeth
Define the word: diastomatic,moving through the pores
Define the word: diastrophe,upheaval or drastic modification of the earth's crust
Define the word: diasyrm,rhetorical device of condemning through faint praise
Define the word: diatessaron,medicine of four ingredients
Define the word: diathermic,permeable to or able to conduct radiant heat
Define the word: diathesis,particular condition of body or mind; predisposing factor
Define the word: diatyposis,rhetorically vivid and clear description of a subject
Define the word: diaulos,ancient Greek double flute
Define the word: dibatag,Somalian antelope with recurved horns
Define the word: dibble,pointed tool for making holes for seeds or plants
Define the word: dicacity,raillery; banter
Define the word: dicaeology,defending oneself in argument by claiming justification
Define the word: dicephalous,two-headed
Define the word: dicephalus,conjoined twins with two heads
Define the word: dicerous,two-horned; having two antennae
Define the word: dichogamous,having males and females maturing at different rates
Define the word: dichord,musical instrument with two strings
Define the word: dichroscope,instrument for examining crystals for dichroism
Define the word: didact,a person given to lecturing or moralizing
Define the word: didapper,someone who disappears and bobs up again
Define the word: didascalic,didactic; pertaining to education or teaching
Define the word: diddicoy,itinerant tinker or scrap-dealer
Define the word: didelphine,of like or pertaining to opossums
Define the word: didelphous,marsupial or pouched mammal
Define the word: didgeridoo,Australian aboriginal instrument consisting of a long wood or bamboo tube
Define the word: didine,of like or pertaining to dodos
Define the word: didymous,twin; twinned; growing in pairs
Define the word: diectasis,extending line of verse by adding extra syllable
Define the word: diegesis,the narration of facts
Define the word: diesis,double dagger sign
Define the word: diestrus,period of sexual inactivity
Define the word: diffarreation,Roman form of divorce
Define the word: differentia,property which distinguishes one from another
Define the word: diffident,overly shy or modest
Define the word: diffinity,lack of similarity or affinity
Define the word: diffluent,readily flowing away
Define the word: diffract,to break up into segments or portions
Define the word: diffractometer,instrument for determining structure of crystal through light diffraction
Define the word: diffrangible,capable of being diffracted or separated
Define the word: diffugient,dispersing; diffusing
Define the word: dight,disposed adorned clothed
Define the word: digitate,having or resembling fingers
Define the word: digitiform,shaped like a finger
Define the word: digitigrade,walking on the toes alone
Define the word: digitorium,silent piano for practicing
Define the word: digladiate,to fight with swords; to fence
Define the word: digonal,figure such that a half-turn gives the same figure
Define the word: digoneutic,double brooded
Define the word: digraph,two letters expressing a single sound
Define the word: dijudicate,to judge; to decide
Define the word: dik-dik,small east African antelope
Define the word: dilacerate,to rend or tear asunder
Define the word: dilaniate,to tear to pieces
Define the word: dilatometer,instrument for measuring expansion
Define the word: dilatory,slow; given to delay or procrastination
Define the word: dilettante,dabbler or lover of fine arts
Define the word: dilogical,ambiguous; having two meanings
Define the word: dilogy,intentional ambiguousness
Define the word: dilruba,Indian stringed instrument like a small sitar
Define the word: diluent,diluting
Define the word: diluvial,of like or pertaining to floods; especially mythical ones
Define the word: dimerous,consisting of two parts
Define the word: dimidiate,divided into halves
Define the word: dimissory,sending away or giving leave to depart; dismissing
Define the word: dimity,sheer and stout white cotton
Define the word: dinanderie,bronze-coloured metal alloy used for decorative vessels
Define the word: dinarchy,government by two people; diarchy
Define the word: dinic,of like or pertaining to vertigo or dizziness
Define the word: dinomania,mania for dancing
Define the word: dinumeration,numbering of rhetorical points one by one
Define the word: dioecious,having male and female sexual organs in different individuals
Define the word: diogenic,cynical
Define the word: dionym,name containing two parts or terms
Define the word: dioptometer,instrument for measuring focus or refraction of the eyes
Define the word: dioptre,unit of measurement of power of lens or eye
Define the word: dioptric,transparent
Define the word: dioptrics,study of light refraction
Define the word: diorism,distinction; definition
Define the word: diorthosis,a critical revision of a text; any correction or adjustment
Define the word: diotic,affecting both ears
Define the word: diphyletic,descended from two distinct ancestral groups
Define the word: diphyodont,having second set of teeth that replaces the first
Define the word: diphysitism,belief in the dual nature of Christ
Define the word: diple,mark in margin of text to indicate rejected verses or new paragraph
Define the word: dipleidoscope,instrument for measuring moment when an object passes a meridian
Define the word: diplocephalus,two-headed monster
Define the word: diplogenesis,doubling of ordinarily single organ or part
Define the word: diplograph,instrument for writing two lines of text at once
Define the word: diplomatics,science of deciphering ancient writings and texts
Define the word: diplomatology,study of diplomats
Define the word: diplopia,double vision
Define the word: dipnoous,having both lungs and gills
Define the word: dippydro,person who often changes mind
Define the word: diprionidian,serrated on both sides
Define the word: diprotodon,gigantic prehistoric marsupial with two incisors in lower jaw
Define the word: dipsetic,causing to be thirsty
Define the word: dipsomania,abnormal craving for alcohol
Define the word: dipsosis,pathological great thirst
Define the word: diptote,noun taking two grammatical cases only
Define the word: diptych,pair of pictures on hinged panels; register of bishops and saints
Define the word: diremption,separation into two; disjunction
Define the word: dirigent,guiding
Define the word: dirigible,able to be directed
Define the word: dirigism,state control in economic and social spheres
Define the word: diriment,condition of legal nullification
Define the word: disafforest,to clear of forest; to disforest
Define the word: disagio,fee charged for exchanging foreign or depreciated currency
Define the word: disbosom,to make known; to reveal
Define the word: discalced,without shoes; barefoot; a religious order wearing no shoes
Define the word: discarnate,disembodied; separated from the body
Define the word: discept,to dispute; to debate
Define the word: discerptible,able to be separated
Define the word: disciform,round or oval in shape
Define the word: discigerous,bearing a disc or discus
Define the word: discinct,ungirded
Define the word: discission,open incision or cut
Define the word: discobolus,discus thrower
Define the word: discography,catalogue or listing of musical recordings
Define the word: discomania,obsession for disco music
Define the word: discombobulate,to disconcert; to upset
Define the word: discommodious,inconvenient
Define the word: discophile,one who loves and studies sound recordings
Define the word: discophoran,of like or pertaining to jellyfishes
Define the word: discountenance,to abash; to discourage
Define the word: disculpate,to free from blame
Define the word: disembogue,to discharge or eject into the sea
Define the word: disembrangle,to free from dispute
Define the word: diseuse,female orator or reciter of verse
Define the word: disgarnish,to despoil
Define the word: disgeneric,being of a different genus
Define the word: disgregation,separation; scattering
Define the word: disillude,to free from illusion
Define the word: disimmure,to liberate; to release from walls
Define the word: disinure,to render unfamiliar
Define the word: disjection,scattering or dispersion
Define the word: disomus,monster with two bodies
Define the word: disorbed,deprived of authority or sovereignty
Define the word: dispendious,extravagant; expensive
Define the word: dispiteous,pitiless; malicious
Define the word: dispone,to set in order; dispose
Define the word: disponge,to sprinkle or discharge as if from a sponge
Define the word: disport,to play about frolic or gambol
Define the word: dispread,to spread in different ways
Define the word: dispurvey,to deprive of provisions
Define the word: disquisition,carefully argued examination of a topic
Define the word: disseize,to seize or deprive of property wrongfully
Define the word: dissentient,one who dissents; dissenter
Define the word: dissepiment,partition or separation of tissue
Define the word: dissilient,springing apart; bursting open with force
Define the word: dissimulate,to pretend; to feign; to fake
Define the word: dissolute,of loose morals; debauched
Define the word: distaff,of like or pertaining to the female branch of a family or women's work
Define the word: distichous,in or having two rows
Define the word: distraint,seizure of goods
Define the word: distrait,distracted; inattentive
Define the word: distributary,branch of river that flows away from the main stream
Define the word: distributive,indicating separate members of a group one at a time
Define the word: dit,poem; words of a song
Define the word: ditheism,belief in two equal gods one good and one evil
Define the word: ditheletism,doctrine that Christ had two wills
Define the word: dithyrambic,passionate; ecstatic; frenzied
Define the word: ditokous,producing two at a birth or in a clutch
Define the word: ditrichotomous,divided into either two or three parts
Define the word: dittography,unintentional repetition of letters in print
Define the word: dittology,double reading or interpretation
Define the word: diurnation,hibernating or sleeping during daylight
Define the word: diutiurnal,lasting long
Define the word: divagate,to digress; wander about
Define the word: divaricate,to divide into two branches
Define the word: divellent,drawing apart; pulling apart in pieces
Define the word: diversiloquent,speaking in different ways; speaking on different subjects
Define the word: diverticulum,blind passage or tunnel
Define the word: divisim,separately
Define the word: divulsion,act of pulling or rendering apart or away
Define the word: dixit,individual's uncorroborated statement
Define the word: dizen,to dress up; to dress gaudily
Define the word: dobbin,workhorse
Define the word: dobhash,interpreter
Define the word: dobsonfly,soft-bodied insect with large mandibles
Define the word: docimasy,scrutiny; assaying; application of tests
Define the word: docimology,the art of assaying
Define the word: doctiloquent,speaking learnedly
Define the word: doddered,decayed with loss of branches
Define the word: dodecafid,divisible into twelve parts or regions
Define the word: dodecarchy,government by twelve people
Define the word: dodger,shield against rain or spray on a ship's bridge
Define the word: dodoism,stupid remark
Define the word: dogcart,light two-wheeled carriage with seats back-to-back
Define the word: dogwatch,a short evening period of watch duty on a ship
Define the word: doit,a trifle or minor thing
Define the word: dol,unit for measuring intensity of pain
Define the word: dolabrate,of like or pertaining to axes or hatchets
Define the word: dolabriform,resembling a hatchet or cleaver
Define the word: dolee,one who receives a government benefit especially unemployment benefits
Define the word: dolent,mourning; doleful
Define the word: dolichocephalic,long-headed
Define the word: dolichopodous,having long feet
Define the word: dolioform,shaped like a barrel
Define the word: dolmen,prehistoric structure or tomb of unhewn stones
Define the word: doloriferous,bearing grief or pain
Define the word: dolorific,causing great sadness or sorrow
Define the word: dolose,having evil or malicious intent
Define the word: domal,of like or pertaining to a house or dome
Define the word: domett,plain cotton-wool blend
Define the word: dominicide,killing or killer of one's master
Define the word: dompteuse,female animal trainer
Define the word: donary,thing given for a sacred purpose
Define the word: donative,benefice presented to church without reference to bishop
Define the word: donné,basic assumption or axiom; basic principle of an artwork
Define the word: donnism,self-importance
Define the word: donnybrook,an uproarious brawl
Define the word: dontopedalogy,putting one's foot in one's mouth
Define the word: doomster,judge; pessimist
Define the word: dop,copper cup for holding a diamond while cutting it
Define the word: doppio,double meter Renaissance dance step
Define the word: doramania,obsession with owning furs
Define the word: doria,striped cotton muslin
Define the word: dormer,gabled window
Define the word: dormition,falling asleep; death
Define the word: dornick,stout linen
Define the word: doromania,obsession with giving gifts
Define the word: dorsad,towards the back
Define the word: dorsiventral,having differentiated opposite faces or surfaces
Define the word: doryphorus,sculpture of a spear-bearer
Define the word: dos-a-dos,carriage where passengers seated back to back
Define the word: dosimeter,instrument for measuring dose of radiation
Define the word: dosimetry,measurement of doses of drugs
Define the word: dosiology,the study of doses
Define the word: dossal,ornamental cloth hung behind and above an altar
Define the word: dossil,plug; spigot; wad of lint for wiping a wound
Define the word: dotation,endowment or donation
Define the word: douanier,customs official
Define the word: doublette,copy of own artwork made by an artist
Define the word: douc,southern Chinese monkey
Define the word: doucet,savory tart baked in sweet dough
Define the word: douceur,gentleness or sweetness; a subtly offered bribe
Define the word: doulocracy,government by slaves
Define the word: douroucouli,small South American nocturnal monkey
Define the word: dowitcher,long-billed North American wading bird
Define the word: dowlas,coarse linen
Define the word: downhaul,rope for holding down or hauling down a sail or spar
Define the word: doxastic,of like or pertaining to opinion
Define the word: doxographer,compiler of opinions of philosophers
Define the word: doxology,hymn or verse of praise to God
Define the word: drabbet,coarse linen
Define the word: drabble,to besmear; bedraggle
Define the word: draconiform,shaped like a dragon
Define the word: draconites,jewel supposedly found inside a dragon's head
Define the word: draffish,worthless
Define the word: drageoir,box for holding sweetmeats
Define the word: dragoman,interpreter
Define the word: dragonism,unremitting watchfulness
Define the word: dragonnade,persecution by military means
Define the word: dragoon,to compel by military bullying; to compel by force
Define the word: drail,iron bow of a plough; heavy fishhook
Define the word: dramaturgy,art of producing and staging dramatic works
Define the word: drap-de-Berry,old woollen cloth
Define the word: drapetomania,intense desire to run away from home
Define the word: dreadnought,heavy woollen cloth
Define the word: dreamery,a place favourable to dreams
Define the word: dree,to endure or withstand
Define the word: dreikanter,three-faced pebble worn by wind
Define the word: drepaniform,shaped like a sickle
Define the word: drepanoid,like a sickle
Define the word: drill,durable twilled cotton
Define the word: dripstone,stone projection used to dispose of rainwater
Define the word: dririmancy,divination by observing dripping blood
Define the word: droguet,ribbed woollen dress fabric
Define the word: drogulus,entity whose existence is unverifiable due to lack of physical effects
Define the word: drollery,drollness; comic show; jest
Define the word: dromestoners,persons who remove stones from temporary airfields
Define the word: dromic,of like or pertaining to a racecourse
Define the word: dromomania,compulsive longing for travel
Define the word: dromometer,instrument for measuring speed
Define the word: dromond,large single-sailed ship powered by rowers
Define the word: dromophobia,fear of crossing streets
Define the word: droskhy,low four-wheeled open carriage
Define the word: drosometer,instrument for measuring dew
Define the word: drugget,coarse durable wool fabric
Define the word: drumlin,long hill formed by glacial retreat
Define the word: drung,narrow road or path to a pasture
Define the word: drupaceous,of like or pertaining to drupes or stone-fruits
Define the word: druxy,having decayed spots concealed by healthy wood
Define the word: drygulch,to murder by pushing off a cliff
Define the word: drysalter,seller of dry goods and chemicals
Define the word: duarchy,government by two people; diarchy
Define the word: duarf,fictitious nineteen-toed fish of Erewhon
Define the word: dubiety,doubtfulness
Define the word: dubitate,to doubt; to hesitate
Define the word: dubitative,mood signifying doubt or incertitude
Define the word: ducape,plain-woven stout silk fabric
Define the word: ducdame,meaningless refrain
Define the word: duck,durable closely woven cotton fabric
Define the word: duck,amphibious military truck
Define the word: ductia,vigorous stamping dance
Define the word: dudgeon,resentment; offended resignation
Define the word: duende,power to attract through personal charm
Define the word: duenna,governess; chaperone
Define the word: duffel,fabric of thick low-quality woolen cloth
Define the word: dugong,aquatic herbivorous mammal like the manatee
Define the word: duiker,small African antelope
Define the word: dulcian,a small early bassoon
Define the word: dulcifluous,flowing sweetly
Define the word: dulciloquent,speaking sweetly
Define the word: dulia,inferior veneration of saints and angels in comparison with God
Define the word: dulocracy,government by slaves; doulocracy
Define the word: dulosis,slavery practiced by animals; especially ants
Define the word: dumose,bushy
Define the word: dump,obsolete English dance in 4/4 time
Define the word: dun,dull greyish brown
Define the word: duncical,stupid; dim-witted
Define the word: dungaree,heavy coarse durable twilled cotton usually coloured
Define the word: duniwassal,a Scottish gentleman
Define the word: dunnage,wood laid in hold to keep cargo dry and safe
Define the word: dunnart,mouse-like marsupial with pointed snout
Define the word: duodenary,of like or pertaining to the number twelve
Define the word: duomachy,duel or fight between two people
Define the word: dupion,coarse silk
Define the word: duramen,heartwood
Define the word: durance,stout heavy wool-based fabric
Define the word: durante,during
Define the word: durative,continuing; not completed; undergoing transformation
Define the word: dure,to last; to endure
Define the word: durity,hardness
Define the word: durometer,instrument for measuring hardness of substances
Define the word: duroy,coarse woollen
Define the word: duteous,devoted to duty; obedient
Define the word: duumvirate,governing council or body of two individuals
Define the word: duvetyn,smooth lustrous velvety fabric
Define the word: dwale,stupefying drink
Define the word: dwile,floorcloth or mop
Define the word: dyarchy,government by two people; diarchy
Define the word: dynamogenesis,production of increased nerve activity
Define the word: dynamograph,instrument for recording mechanical forces
Define the word: dynamometer,instrument for measuring mechanical force
Define the word: dyne,unit of force to accelerate 1 gram to 1 cm per second per second
Define the word: dyogram,ship's chart indicating compass deflection due to ship's iron
Define the word: dyphone,double lute with fifty strings
Define the word: dysaesthesia,loss of sensation
Define the word: dysania,having a hard time waking up in the morning
Define the word: dysbulia,loss of willpower
Define the word: dyschroa,discoloration of the skin
Define the word: dyschromatopic,colour-blind
Define the word: dysgenesis,sterility in hybrid creatures
Define the word: dysgenics,the study of racial degeneration
Define the word: dyslogia,inability to express ideas due to mental incompetence
Define the word: dyslogistic,conveying censure; opprobrious
Define the word: dysmorphophobia,fear of physical deformities
Define the word: dysphagia,pathological difficulty in swallowing
Define the word: dysphemism,replacement of an inoffensive by an offensive word
Define the word: dysphonia,physical abnormality causing speech impediment
Define the word: dysphoria,uneasiness; restlessness; general depression
Define the word: dystectic,not easily fused
Define the word: dysteleology,study of purposeless organs; doctrine of purposelessness
Define the word: dystocia,difficult childbirth
Define the word: dystopia,place where all is as bad as possible
Define the word: dziggetai,Mongolian wild ass
Define the word: eagre,sudden rise of tide in a river
Define the word: earing,line for fastening corner of a sail to the gaff or yard
Define the word: earwig,a small insect; to bias; to pester with demands; to eavesdrop
Define the word: easement,rights held over another's land
Define the word: eau-de-nil,pale green colour
Define the word: ebberman,one who fishes under bridges
Define the word: ebeneous,like or resembling ebony
Define the word: éboulement,falling in of wall of a fort; landslide
Define the word: ebriection,mental breakdown from too much drinking
Define the word: ébrillade,jerking of horse's rein when it does not turn
Define the word: ebrious,tending towards excessive drinking
Define the word: ebullioscope,instrument for measuring boiling point of liquids
Define the word: ebullition,boiling over; agitation; outbreak
Define the word: eburnean,of or like ivory; ivory-coloured
Define the word: ecardinate,without hinges
Define the word: ecarlate,fine woollen cloth usually dyed scarlet
Define the word: ecaudate,tailless
Define the word: ecbatic,grammatical construction indicating result without intention
Define the word: ecbole,digression
Define the word: ecbolic,assisting childbirth; aiding abortion
Define the word: eccaleobion,incubator
Define the word: ecchymosis,black-and-blue spot
Define the word: ecclesiarchy,government by clerics or ecclesiastical authorities
Define the word: ecclesiastry,affairs of the church
Define the word: ecclesiography,treatise or writing on the church
Define the word: ecclesiolatry,excessive devotion to church tradition and form
Define the word: ecclesiology,study of church affairs
Define the word: eccoprotic,laxative; mildly cathartic; purgative
Define the word: eccrinology,study of excretion
Define the word: ecdemic,not endemic; of foreign origin
Define the word: ecdemomania,abnormal compulsion for wandering
Define the word: ecdysiast,striptease performer
Define the word: ecesis,the establishment of a plant or animal in a new habitat
Define the word: echard,water in the soil not available to plants
Define the word: echidna,Australian toothless spined monotreme resembling a hedgehog
Define the word: echinate,like a hedgehog; prickly
Define the word: echinuliform,resembling small spines
Define the word: echoism,the formation of imitative words
Define the word: echolalia,echo-like repetition of another's words
Define the word: echopraxia,echo-like repetition of another's actions
Define the word: eclaircise,to clear up
Define the word: éclaircissement,clarification; enlightenment
Define the word: eclat,to make notorious
Define the word: éclat,publicity; dazzling effect; brilliance; applause
Define the word: eclegme,ancient syrupy medicine that is licked off a spoon
Define the word: eclipsareon,astronomical toy used to show phenomena of solar and lunar eclipses
Define the word: eclipsis,omission of sounds or words in speech
Define the word: ecliptic,imaginary circle which the sun follows from Earth perspective
Define the word: eclogue,pastoral or rustic poem
Define the word: eclosion,emergence as from a larva or egg or of an era or movement
Define the word: ecmnesia,loss of memory of the events of a specific period
Define the word: ecocide,destruction of the environment
Define the word: economacy,position of controller of ecclesiastical affairs
Define the word: ecophene,range of phenotypes produced by a genotype in a given environment
Define the word: ecophobia,fear of home
Define the word: écorché,a human figure portrayed stripped of the skin
Define the word: ecphasis,explicit declaration or interpretation
Define the word: ecphonesis,rhetorical exclamation
Define the word: ecphrasis,plain interpretation of a thing
Define the word: écrevisse,freshwater lobster
Define the word: ecru,off-white
Define the word: ecthlipsis,omitting one or more sounds in pronouncing a word
Define the word: ectobatic,carrying or leading towards the outside
Define the word: ectogenesis,variation in response to outside conditions
Define the word: ectopia,displacement of internal organs in the body
Define the word: ectype,reproduction or copy
Define the word: ectypography,etching in relief
Define the word: écuelle,two-handled soup or porridge bowl
Define the word: ecydisis,shedding or moulting of the skin
Define the word: edacious,voracious; gluttonous; pertaining to eating
Define the word: edapha,organisms living in soil
Define the word: edaphic,of like or pertaining to the soil
Define the word: edaphology,study of soils
Define the word: edentate,toothless; without teeth; pertaining to anteaters and sloths
Define the word: edh,letter in Old English representing voiced 'th' sound
Define the word: edulcorate,to sweeten; to rid of soluble particles by washing
Define the word: eellogofusciouhipoppokunurious,good
Define the word: effable,capable of being expressed
Define the word: efferent,carrying outward or away
Define the word: effete,weak or worn-out; degenerate
Define the word: effigurate,having a definite shape
Define the word: effleurage,stroking movement in massage
Define the word: effluvium,invisible emanation; offensive exhalation or smell
Define the word: effodient,burrowing
Define the word: effulge,to shine out; to beam
Define the word: effusiometer,instrument for comparing molecular weights of gases
Define the word: effutiation,twaddle; humbug
Define the word: eft,a newt
Define the word: eft,again; afterwards
Define the word: eftsoons,soon after
Define the word: egad,mild oath
Define the word: egelidate,to change congealed material to liquid
Define the word: egency,need
Define the word: egestion,the removal of materials from the body
Define the word: egestuous,desperately poor
Define the word: egoism,doctrine that the pursuit of self-interest is the highest good
Define the word: egotheism,identification of oneself with God
Define the word: Egyptology,study of ancient Egypt
Define the word: eidetic,vivid mental image or memory
Define the word: eidograph,instrument for copying drawings
Define the word: eidolism,belief in ghosts
Define the word: eidolon,image phantom or apparition; confusing reflected image
Define the word: eigne,first born
Define the word: eikonology,metaphor
Define the word: eirenarch,officer in charge of keeping the public peace; justice of the peace
Define the word: eirenicon,peace-making message proposition for peace
Define the word: eirenics,theological doctrine of religious unification
Define the word: eirenism,peaceful state of mind
Define the word: eisegesis,faulty interpretation or explanation of text
Define the word: eisel,sour wine resembling vinegar
Define the word: ejectamenta,material ejected from a volcano
Define the word: eke,in addition; also; likewise
Define the word: ekistics,study of human settlement
Define the word: ekka,small one-horse carriage
Define the word: ekphrasis,description of a work of art as rhetorical exercise
Define the word: élan,impetuosity; dash or style; brilliancy or vivacity
Define the word: elance,to throw as a lance
Define the word: eland,large heavily built African antelope
Define the word: elaphine,of like or belonging to a red deer; of of like or pertaining to red deer
Define the word: elaphure,reddish Chinese deer
Define the word: elapid,of like or pertaining to cobras
Define the word: elastane,highly elastic artificial cotton-like fabric
Define the word: elative,indicating movement out of or away from
Define the word: elatrometer,instrument for measuring gaseous pressure
Define the word: elchee,ambassador
Define the word: eldritch,horrifying; arcane; strange
Define the word: electrocardiograph,instrument for recording unusual electrical fluctuations of the heart
Define the word: electrochemistry,study of relations between electricity and chemicals
Define the word: electrodynamometer,instrument for measuring electrical current
Define the word: electroencephalograph,instrument for measuring the brain's electrical impulses
Define the word: electrogenesis,production of electricity
Define the word: electrograph,instrument for recording electrical potential
Define the word: electrology,study of electricity
Define the word: electrometer,instrument for measuring electrical potential
Define the word: electromyograph,instrument for diagnosing neuromuscular disorders
Define the word: electrophile,substance having an affinity for electrons or negative charge
Define the word: electroretinograph,instrument for measuring electrical activity in the retina
Define the word: electroscope,instrument for detecting electrical charges in the body
Define the word: electrostatics,study of static electricity
Define the word: electuary,medicine mixed with honey or syrup
Define the word: eleemosynary,of like or pertaining to charity or giving alms; dependent on charity
Define the word: elenchus,refutation; sophism
Define the word: elenctic,of like or pertaining to argument; cross-examination or refuting
Define the word: elephant,large unit of paper measurement equal to 28 by 23 inches
Define the word: elephanticide,killing of an elephant
Define the word: elephantine,of like or pertaining to elephants
Define the word: eleutherian,freedom-giving
Define the word: eleutheromania,manic desire for freedom
Define the word: eleutherophobia,fear of freedom
Define the word: elflock,lock of tangled hair
Define the word: elide,omit; ignore; suppress or abridge
Define the word: elinguate,to remove the tongue
Define the word: ell,old unit of length equal to 45 inches
Define the word: ellipsis,three dots used to indicate a break pause or unfinished thought (…)
Define the word: ellipsograph,instrument for describing ellipses
Define the word: elocation,removal from someone's control; alienation
Define the word: éloge,funeral oration; panegyric
Define the word: eloign,to convey to a distance; to remove
Define the word: elsin,shoemaker's awl
Define the word: elumbated,made weak in the loins
Define the word: elution,purification or separation by washing
Define the word: elutriate,to separate by washing into finer portions
Define the word: elydoric,painted with both oil and watercolour
Define the word: elytriferous,having or bearing hardened forewings
Define the word: em,unit of measuring width of typeface where width of letters equals height
Define the word: emacity,itch to be buying
Define the word: email,type of dark ink
Define the word: emarcid,wilted; limp
Define the word: embale,to enclose; to bind in; to make into a bale
Define the word: embar,to shut in; to hinder; to put under embargo
Define the word: embase,to lower; to debase
Define the word: embayment,bay
Define the word: emberlucock,to confuse; to bewilder
Define the word: emblements,growing crops
Define the word: embonpoint,stout; plump or full in figure; corpulent
Define the word: embouchement,opening of a passage or tunnel
Define the word: embower,to place in a bower; to shelter with trees
Define the word: embracery,attempt to influence a jury corruptly
Define the word: embrangle,to confuse or perplex
Define the word: embrasure,recess of a door or window
Define the word: embrocate,to moisten and rub with a lotion
Define the word: embryogenesis,production of an embryo
Define the word: embryography,scientific description of embryonic development
Define the word: embryoniform,shaped like an embryo
Define the word: emendation,correction; usually of a text
Define the word: emergicenter,urban clinic offering emergency outpatient services
Define the word: emesis,the act of vomiting
Define the word: emetology,study of vomiting
Define the word: émeute,a popular rising or uproar
Define the word: emicate,to sparkle
Define the word: emiction,the discharging of urine
Define the word: emissile,able to be emitted or pushed out
Define the word: emmenagogue,drug aiding menstrual flow
Define the word: emmenology,the study of menstruation
Define the word: emmet,ant
Define the word: emmetropia,correct refraction of light by the eyes
Define the word: emmew,to confine or mew up
Define the word: emollient,softening; making supple
Define the word: emolument,payment; profit arising from employment
Define the word: emonomancy,divination using demons
Define the word: emotivism,theory that moral statements are inherently biased
Define the word: empaestic,of like or pertaining to the art of embossing
Define the word: empanoply,to clothe in full armor
Define the word: empasm,deodorant powder
Define the word: empennage,airplane's tail unit
Define the word: empery,wide dominion; empire
Define the word: emphractic,stopping the pores of the skin
Define the word: emphyteusis,perpetual but conditional lease of property
Define the word: empiecement,an insertion in a garment
Define the word: empleomania,mania for holding public office
Define the word: emporeutic,of like or pertaining to trade
Define the word: empressment,show of affection or eagerness
Define the word: emprise,adventurous undertaking
Define the word: emptings,yeast mixture
Define the word: emption,the act of buying; purchase
Define the word: emptysis,spitting up of blood
Define the word: empyreal,of like or pertaining to heaven; sublime; skyward
Define the word: emulge,to milk or drain out
Define the word: emunctory,conveying waste; pertaining to nose-blowing
Define the word: emys,freshwater tortoise
Define the word: enallage,the exchange of one grammatical case for another
Define the word: enantiodromia,process when a thing is replaced by its opposite
Define the word: enantiomorph,object which is the mirror image of another
Define the word: enantiopathy,allopathy; sympathy with one's opposite
Define the word: enantiosis,ironic expression of idea by refuting its contrary
Define the word: enation,outgrowth; extension
Define the word: encaenia,anniversary festival of renewal of an institution
Define the word: encaustic,having the colours burned in
Define the word: enceinte,pregnant
Define the word: encephalograph,instrument for recording brain images
Define the word: encephaloid,like or resembling a brain
Define the word: enchiridion,book carried in the hand for reference esp. for music or theology
Define the word: enchorial,belonging to or used in a country; domestic
Define the word: encolpion,reliquary; cross worn on the breast
Define the word: encomiast,person who utters encomiums; praiser
